01-A-x;01-A-y;01-A-z;02-A-x;02-A-y;02-A-z;05-A-x;05-A-y;05-A-z;16-A-x;16-A-y;16-A-z;17-A-x;17-A-y;17-A-z;18-A-x;18-A-y;18-A-z;19-A-x;19-A-y;19-A-z;20-A-x;20-A-y;20-A-z;21-A-x;21-A-y;21-A-z
-0.984402133697547;0.003487280933183787;0.21638433773367236;-1.0080356671146484;-0.0024280967398528073;-0.1259012311259441;-0.9072641654366499;-0.20068194038113038;-0.4058768204778296;-0.9195080076727211;-0.03079808391084879;-0.3852758133160555;-0.9195080076727211;-0.03079808391084879;-0.3852758133160555;-0.972560911050736;-0.02372806839975083;0.23074672706870414;-0.972560911050736;-0.02372806839975083;0.23074672706870414;-0.972560911050736;-0.02372806839975083;0.23074672706870414;-0.984402133697547;0.003487280933183787;0.21638433773367236
-0.9843920904920405;0.003637514245648275;0.21645856380815623;-1.0073726283347217;-0.0021040545299790504;-0.12275833007165776;-0.9133001658452388;-0.20406342754921244;-0.40653790618739527;-0.9197580654296263;-0.033740655801735214;-0.38509145004456447;-0.9197580654296263;-0.033740655801735214;-0.38509145004456447;-0.9727366547394196;-0.02112937508010067;0.2299360582860512;-0.9727366547394196;-0.02112937508010067;0.2299360582860512;-0.9727366547394196;-0.02112937508010067;0.2299360582860512;-0.9843920904920405;0.003637514245648275;0.21645856380815623
-0.9844297564254367;0.005949846657277317;0.21942979885330732;-1.0098685095323443;-3.4294858537138274e-05;-0.12102378026435623;-0.9117050177124478;-0.20058785995279427;-0.40576263459159306;-0.9219824246514048;-0.03349568672371869;-0.3820313897259803;-0.9219824246514048;-0.03349568672371869;-0.3820313897259803;-0.9726908203262363;-0.020692141370849834;0.23310798645779593;-0.9726908203262363;-0.020692141370849834;0.23310798645779593;-0.9726908203262363;-0.020692141370849834;0.23310798645779593;-0.9844297564254367;0.005949846657277317;0.21942979885330732
-0.9842880330753578;0.008189354101313438;0.21815218003855458;-1.0121781603237792;0.002415606929013377;-0.11957267779226381;-0.9124421334314612;-0.20058943781285432;-0.40884156004711886;-0.9238832335929428;-0.030802449409985087;-0.38465964662529434;-0.9238832335929428;-0.030802449409985087;-0.38465964662529434;-0.9727005177976169;-0.026405149420179054;0.2322273277150102;-0.9727005177976169;-0.026405149420179054;0.2322273277150102;-0.9727005177976169;-0.026405149420179054;0.2322273277150102;-0.9842880330753578;0.008189354101313438;0.21815218003855458
-0.984820945133649;0.007667948882729612;0.22143015850628026;-1.0111921291901753;0.002118243002864341;-0.11421986338714166;-0.9118902550105363;-0.2057349336094748;-0.40841080503725824;-0.926290836153898;-0.031524408666824134;-0.38918160625908793;-0.926290836153898;-0.031524408666824134;-0.38918160625908793;-0.972707027827872;-0.025398028071890708;0.23221886737323416;-0.972707027827872;-0.025398028071890708;0.23221886737323416;-0.972707027827872;-0.025398028071890708;0.23221886737323416;-0.984820945133649;0.007667948882729612;0.22143015850628026
-0.9821340179664806;0.007945072784999998;0.22080469514367032;-1.0139526159968535;-0.00046356871015720716;-0.11526939411982766;-0.9123134909054628;-0.2072396533691475;-0.40574155418594937;-0.9253498408944643;-0.03089087769743812;-0.3909901485591968;-0.9253498408944643;-0.03089087769743812;-0.3909901485591968;-0.9726712385352484;-0.022835613662392906;0.2348756942476041;-0.9726712385352484;-0.022835613662392906;0.2348756942476041;-0.9726712385352484;-0.022835613662392906;0.2348756942476041;-0.9821340179664806;0.007945072784999998;0.22080469514367032
-0.980296107969815;0.0073479961267984084;0.2184279371309367;-1.0159435121792144;0.00011855404337062539;-0.11762057839596335;-0.9124579660364461;-0.20693705630363446;-0.4068069051556557;-0.9278446456985469;-0.03344328035864322;-0.39008431425575635;-0.9278446456985469;-0.03344328035864322;-0.39008431425575635;-0.9728085484528194;-0.024042266780692764;0.2342949346273905;-0.9728085484528194;-0.024042266780692764;0.2342949346273905;-0.9728085484528194;-0.024042266780692764;0.2342949346273905;-0.980296107969815;0.0073479961267984084;0.2184279371309367
-0.9800333537606308;0.010231133845495574;0.21864223781990602;-1.015519705800685;-1.8164853387979905e-05;-0.11709001523422319;-0.9091688346542496;-0.2070160272616482;-0.4040370198053901;-0.9317562201368531;-0.03605908407101951;-0.39304477167007223;-0.9317562201368531;-0.03605908407101951;-0.39304477167007223;-0.9722929057232257;-0.020619347440193884;0.23435208526920132;-0.9722929057232257;-0.020619347440193884;0.23435208526920132;-0.9722929057232257;-0.020619347440193884;0.23435208526920132;-0.9800333537606308;0.010231133845495574;0.21864223781990602
-0.9833720476391201;0.011621093602399605;0.22059969784530756;-1.0155835019510213;-4.395534226862076e-05;-0.11722659970993742;-0.9132153942737861;-0.20699775467199358;-0.4014144943447899;-0.9369013952269419;-0.03238063539405825;-0.3944291518647373;-0.9369013952269419;-0.03238063539405825;-0.3944291518647373;-0.9750256626964362;-0.021593336081059154;0.23469551064549504;-0.9750256626964362;-0.021593336081059154;0.23469551064549504;-0.9750256626964362;-0.021593336081059154;0.23469551064549504;-0.9833720476391201;0.011621093602399605;0.22059969784530756
-0.9819014894410617;0.014018039632070507;0.2258762822277159;-1.0157449750189975;0.00019384653631196892;-0.11720159762522403;-0.9115823900412338;-0.206993237425681;-0.40529349531279063;-0.9335095687070835;-0.03320185903432324;-0.39677237097920426;-0.9335095687070835;-0.03320185903432324;-0.39677237097920426;-0.9770730300806001;-0.02358694814036992;0.2324214978379279;-0.9770730300806001;-0.02358694814036992;0.2324214978379279;-0.9770730300806001;-0.02358694814036992;0.2324214978379279;-0.9819014894410617;0.014018039632070507;0.2258762822277159
-0.9825748165971272;0.01595427895842935;0.2243552482551285;-1.015036304348483;-0.0007322428187547206;-0.11716751954906571;-0.9122106103931996;-0.2070292515718366;-0.40408062361024233;-0.9260020093031779;-0.036345249343885305;-0.39892904260825146;-0.9260020093031779;-0.036345249343885305;-0.39892904260825146;-0.9759884906353065;-0.024160650644551765;0.22768994247811608;-0.9759884906353065;-0.024160650644551765;0.22768994247811608;-0.9759884906353065;-0.024160650644551765;0.22768994247811608;-0.9825748165971272;0.01595427895842935;0.2243552482551285
